Model,RMSD,MCQ,TM-score
trrosettarna_rp12_1.pdb,2.601,31.21,0.876
trrosettarna_rp12_2.pdb,2.613,39.27,0.863
alphafold3_rp12_2.pdb,3.139,17.37,0.779
alphafold3_rp12_4.pdb,3.158,17.54,0.787
alphafold3_rp12_5.pdb,3.172,17.54,0.777
alphafold3_rp12_3.pdb,3.181,17.35,0.785
alphafold3_rp12_1.pdb,3.228,17.4,0.778
rhofold_rp12.pdb,4.58,48.48,0.605
trrosettarna_rp12_3.pdb,19.362,61.13,0.227
trrosettarna_rp12_5.pdb,19.381,66.92,0.212
trrosettarna_rp12_4.pdb,19.424,62.51,0.227
3drna_rp12_3.pdb,24.642,39.47,0.219
vfold_rp12.pdb,24.924,35.36,0.256
rnacomposer_rp12.pdb,25.771,29.76,0.225
rnajp_rp12.pdb,26.359,26.59,0.209
3drna_rp12_4.pdb,28.538,38.2,0.196
3drna_rp12_5.pdb,29.174,44.88,0.196
eprna_rp12.pdb,29.274,95.12,0.156
3drna_rp12_1.pdb,29.436,37.09,0.254
3drna_rp12_2.pdb,29.474,42.17,0.236
3drna_rp12.pdb,29.499,36.38,0.196
isrna_rp12.pdb,45.919,25.21,0.224
ifoldrna_rp12_4.pdb,46.537,29.4,0.132
ifoldrna_rp12_3.pdb,48.272,31.55,0.141
vfoldpipeline_rp12.pdb,48.283,35.53,0.166
ifoldrna_rp12_2.pdb,48.309,33.06,0.139
ifoldrna_rp12_5.pdb,49.608,31.29,0.155
ifoldrna_rp12_1.pdb,49.783,30.35,0.118
simrna_rp12.pdb,102.436,49.09,0.069
best_rp12_27.pdb,,,0.241
best_rp12_34.pdb,,,0.239
best_rp12_36.pdb,,,0.242
best_rp12_30.pdb,,,0.347
best_rp12_44.pdb,,,0.228
best_rp12_13.pdb,,,0.2
best_rp12_10.pdb,,,0.351
best_rp12_40.pdb,,,0.225
best_rp12_23.pdb,,,0.338
best_rp12_4.pdb,,,0.218
best_rp12_49.pdb,,,0.305
best_rp12_21.pdb,,,0.318
best_rp12_14.pdb,,,0.314
best_rp12_12.pdb,,,0.329
best_rp12_18.pdb,,,0.258
best_rp12_35.pdb,,,0.202
best_rp12_16.pdb,,,0.327
best_rp12_15.pdb,,,0.296
best_rp12_9.pdb,,,0.204
best_rp12_6.pdb,,,0.225
best_rp12_28.pdb,,,0.261
best_rp12_37.pdb,,,0.289
best_rp12_43.pdb,,,0.238
best_rp12_33.pdb,,,0.317
best_rp12_3.pdb,,,0.356
best_rp12_7.pdb,,,0.315
best_rp12_20.pdb,,,0.344
best_rp12_24.pdb,,,0.223
best_rp12_25.pdb,,,0.294
best_rp12_38.pdb,,,0.28
best_rp12_29.pdb,,,0.26
best_rp12_48.pdb,,,0.317
best_rp12_1.pdb,,,0.332
best_rp12_41.pdb,,,0.361
best_rp12_45.pdb,,,0.318
best_rp12_31.pdb,,,0.336
best_rp12_2.pdb,,,0.387
best_rp12_8.pdb,,,0.219
best_rp12_39.pdb,,,0.342
best_rp12_46.pdb,,,0.302
best_rp12_47.pdb,,,0.247
best_rp12_26.pdb,,,0.214
best_rp12_17.pdb,,,0.354
best_rp12_22.pdb,,,0.244
best_rp12_50.pdb,,,0.245
best_rp12_5.pdb,,,0.226
best_rp12_19.pdb,,,0.241
best_rp12_32.pdb,,,0.203
best_rp12_42.pdb,,,0.346
best_rp12_11.pdb,,,0.338
best_rp12_51.pdb,,,0.183
