Model,RMSD,MCQ,TM-score
alphafold3_rp06_5.pdb,2.891,17.54,0.851
alphafold3_rp06_4.pdb,3.054,17.61,0.835
alphafold3_rp06_3.pdb,3.062,18.11,0.842
alphafold3_rp06_2.pdb,3.128,17.83,0.829
alphafold3_rp06_1.pdb,3.159,17.39,0.832
rhofold_rp06.pdb,11.354,60.03,0.415
trrosettarna_rp06_2.pdb,18.34,33.09,0.428
trrosettarna_rp06_1.pdb,19.216,39.43,0.38
trrosettarna_rp06_4.pdb,19.443,35.81,0.377
trrosettarna_rp06_3.pdb,19.443,39.32,0.383
vfoldpipeline_rp06.pdb,21.548,23.7,0.335
trrosettarna_rp06_5.pdb,24.708,45.99,0.289
simrna_rp06.pdb,25.831,28.33,0.221
3drna_rp06_5.pdb,26.555,37.9,0.245
3drna_rp06_3.pdb,27.281,38.34,0.287
3drna_rp06_4.pdb,28.153,38.89,0.273
eprna_rp06.pdb,28.905,96.8,0.182
3drna_rp06_2.pdb,29.561,41.61,0.268
isrna_rp06.pdb,29.998,25.71,0.282
3drna_rp06_1.pdb,30.498,38.46,0.263
3drna_rp06.pdb,30.585,35.85,0.182
rnacomposer_rp06.pdb,30.74,26.4,0.253
ifoldrna_rp06_3.pdb,42.39,34.12,0.154
ifoldrna_rp06_4.pdb,45.556,32.43,0.144
ifoldrna_rp06_2.pdb,46.189,32.99,0.144
ifoldrna_rp06_5.pdb,46.609,33.0,0.141
ifoldrna_rp06_1.pdb,47.144,33.03,0.148
best_rp06_31.pdb,,,0.251
best_rp06_21.pdb,,,0.246
best_rp06_28.pdb,,,0.261
best_rp06_11.pdb,,,0.353
best_rp06_22.pdb,,,0.279
best_rp06_33.pdb,,,0.338
best_rp06_20.pdb,,,0.238
best_rp06_30.pdb,,,0.196
best_rp06_13.pdb,,,0.31
best_rp06_12.pdb,,,0.45
best_rp06_8.pdb,,,0.352
best_rp06_27.pdb,,,0.2
best_rp06_5.pdb,,,0.272
best_rp06_16.pdb,,,0.21
best_rp06_7.pdb,,,0.444
best_rp06_10.pdb,,,0.206
best_rp06_17.pdb,,,0.243
rnajp_rp06.pdb,,,0.133
best_rp06_3.pdb,,,0.35
best_rp06_34.pdb,,,0.36
best_rp06_32.pdb,,,0.282
best_rp06_15.pdb,,,0.174
best_rp06_29.pdb,,,0.252
best_rp06_1.pdb,,,0.431
best_rp06_6.pdb,,,0.281
best_rp06_4.pdb,,,0.304
best_rp06_19.pdb,,,0.216
best_rp06_2.pdb,,,0.261
best_rp06_23.pdb,,,0.222
best_rp06_24.pdb,,,0.242
best_rp06_9.pdb,,,0.254
best_rp06_18.pdb,,,0.165
best_rp06_25.pdb,,,0.239
best_rp06_26.pdb,,,0.239
best_rp06_14.pdb,,,0.29
