Model,RMSD,MCQ,TM-score
best_rp25_22.pdb,2.55,19.11,0.671
alphafold3_rp25_1.pdb,2.579,11.74,0.654
alphafold3_rp25_5.pdb,2.594,12.19,0.652
alphafold3_rp25_2.pdb,2.634,12.28,0.655
alphafold3_rp25_3.pdb,2.639,13.22,0.632
alphafold3_rp25_4.pdb,2.684,12.15,0.655
best_rp25_45.pdb,2.692,17.04,0.673
best_rp25_46.pdb,2.698,19.53,0.733
best_rp25_21.pdb,2.708,19.23,0.664
best_rp25_27.pdb,2.839,19.43,0.771
best_rp25_2.pdb,2.863,16.52,0.597
best_rp25_20.pdb,2.874,19.7,0.619
best_rp25_30.pdb,2.901,20.44,0.701
best_rp25_8.pdb,3.046,17.07,0.592
best_rp25_25.pdb,3.051,20.5,0.656
best_rp25_23.pdb,3.055,20.29,0.634
best_rp25_7.pdb,3.075,18.0,0.589
best_rp25_43.pdb,3.088,18.91,0.542
best_rp25_39.pdb,3.095,20.36,0.587
trrosettarna_rp25_2.pdb,3.179,31.06,0.66
best_rp25_49.pdb,3.185,18.32,0.644
best_rp25_36.pdb,3.19,17.73,0.673
trrosettarna_rp25_1.pdb,3.198,30.82,0.661
best_rp25_6.pdb,3.229,17.07,0.556
trrosettarna_rp25_3.pdb,3.253,32.85,0.655
best_rp25_28.pdb,3.343,19.05,0.739
best_rp25_24.pdb,3.474,19.52,0.621
best_rp25_3.pdb,3.478,17.5,0.558
best_rp25_40.pdb,3.528,17.29,0.581
best_rp25_33.pdb,3.702,17.04,0.571
best_rp25_4.pdb,4.212,17.89,0.562
vfoldpipeline_rp25.pdb,4.334,19.43,0.644
best_rp25_14.pdb,4.533,21.81,0.606
best_rp25_18.pdb,4.663,22.82,0.573
best_rp25_10.pdb,4.665,22.55,0.569
best_rp25_17.pdb,4.665,22.61,0.569
best_rp25_32.pdb,5.741,24.85,0.441
best_rp25_1.pdb,5.741,24.85,0.441
best_rp25_44.pdb,5.778,19.5,0.569
best_rp25_5.pdb,5.981,19.06,0.545
best_rp25_34.pdb,6.659,19.73,0.526
best_rp25_48.pdb,6.671,19.39,0.48
best_rp25_42.pdb,6.901,20.6,0.512
best_rp25_47.pdb,7.035,21.92,0.421
best_rp25_38.pdb,7.19,17.59,0.5
best_rp25_16.pdb,7.637,30.04,0.284
best_rp25_13.pdb,7.791,22.99,0.275
best_rp25_35.pdb,8.222,27.73,0.287
best_rp25_29.pdb,8.571,22.45,0.277
best_rp25_37.pdb,8.638,36.34,0.261
best_rp25_19.pdb,8.754,22.7,0.243
best_rp25_12.pdb,9.63,26.74,0.263
best_rp25_15.pdb,9.646,22.63,0.239
best_rp25_9.pdb,9.826,24.53,0.295
best_rp25_26.pdb,9.838,20.85,0.217
best_rp25_41.pdb,10.014,28.34,0.347
best_rp25_31.pdb,10.549,20.24,0.245
trrosettarna_rp25_5.pdb,11.451,60.76,0.168
trrosettarna_rp25_4.pdb,11.493,51.32,0.162
rhofold_rp25.pdb,12.841,57.79,0.238
mcsym_rp25.pdb,15.475,33.87,0.26
eprna_rp25.pdb,16.591,93.66,0.125
isrna_rp25.pdb,18.002,24.03,0.235
3drna_rp25_1.pdb,24.369,28.9,0.253
best_rp25_11.pdb,24.828,21.25,0.293
3drna_rp25_5.pdb,24.864,30.9,0.258
vfold_rp25.pdb,25.124,31.79,0.228
3drna_rp25_2.pdb,25.138,32.04,0.234
3drna_rp25_4.pdb,25.462,31.49,0.238
3drna_rp25_3.pdb,25.622,32.45,0.246
rnacomposer_rp25.pdb,26.26,23.28,0.224
rnajp_rp25.pdb,45.037,28.68,0.191
simrna_rp25.pdb,61.103,56.58,0.071
